,0,1,2,3,4,5,6,7,8,,,,,,,,,,,,,
10,0.22,-0.007164341,-0.007164341,-0.007164342,-0.007164336,-0.00716434,"[0, 0, 0, 0, 1, 0, 0, 1, 1, 0, 0, 1, 1, 0, 0, 0, 0, 0, 1, 1, 0, 0, 1, 0, 0, 1, 0, 0, 1, 0, 0]",-0.00716434,"[0, 0, 0, 0, 1, 0, 0, 1, 1, 0, 0, 1, 1, 0, 0, 0, 0, 0, 1, 1, 0, 0, 1, 0, 0, 1, 0, 0, 1, 0, 0]",0.010358317,0.004159761,10,1.549504519,3.292126024,6.692632986,1.549504519,,,0.000139317,1.754454162,1.145671638,
11,0.24,-0.00687398,-0.00687398,-0.006873981,-0.006873976,-0.006873978,"[0, 0, 0, 0, 1, 0, 0, 1, 1, 0, 0, 1, 1, 0, 0, 0, 0, 0, 1, 1, 0, 0, 1, 0, 0, 1, 0, 0, 1, 0, 0]",-0.006873978,"[0, 0, 0, 0, 1, 0, 0, 1, 1, 0, 0, 1, 1, 0, 0, 0, 0, 0, 1, 1, 0, 0, 1, 0, 0, 1, 0, 0, 1, 0, 0]",0.010358317,0.00415976,10,1.549498885,3.292113608,6.692607337,1.549498885,,,0.000139317,1.754430544,1.145671638,
12,0.26,-0.006583618,-0.006583618,-0.006583619,-0.006583618,-0.006583617,"[0, 0, 0, 0, 1, 0, 0, 1, 1, 0, 0, 1, 1, 0, 0, 0, 0, 0, 1, 1, 0, 0, 1, 0, 0, 1, 0, 0, 1, 0, 0]",-0.006583617,"[0, 0, 0, 0, 1, 0, 0, 1, 1, 0, 0, 1, 1, 0, 0, 0, 0, 0, 1, 1, 0, 0, 1, 0, 0, 1, 0, 0, 1, 0, 0]",0.010358317,0.004159761,10,1.549504519,3.292126024,6.692632986,1.549504519,,,0.000139317,1.754454162,1.145671638,
13,0.28,-0.006293256,-0.006293256,-0.006293258,-0.006293256,-0.006293255,"[0, 0, 0, 0, 1, 0, 0, 1, 1, 0, 0, 1, 1, 0, 0, 0, 0, 0, 1, 1, 0, 0, 1, 0, 0, 1, 0, 0, 1, 0, 0]",-0.006293255,"[0, 0, 0, 0, 1, 0, 0, 1, 1, 0, 0, 1, 1, 0, 0, 0, 0, 0, 1, 1, 0, 0, 1, 0, 0, 1, 0, 0, 1, 0, 0]",0.010358316,0.00415976,10,1.549508389,3.29213399,6.692649442,1.549508389,,,0.000139318,1.754430544,1.145681402,
14,0.3,-0.006003329,-0.006003329,-0.006003331,-0.006003326,-0.006003328,"[0, 0, 0, 1, 1, 0, 0, 1, 1, 0, 0, 1, 1, 0, 0, 0, 0, 0, 0, 1, 0, 0, 1, 0, 0, 1, 0, 0, 1, 0, 0]",-0.006003328,"[0, 0, 0, 1, 1, 0, 0, 1, 1, 0, 0, 1, 1, 0, 0, 0, 0, 0, 0, 1, 0, 0, 1, 0, 0, 1, 0, 0, 1, 0, 0]",0.010350525,0.004140133,10,1.512720626,3.206688387,6.516205277,1.512720626,,,0.00013568,1.764320132,1.104665705,
15,0.32,-0.005713516,-0.005713516,-0.005713518,-0.005713516,-0.005713514,"[0, 0, 0, 1, 1, 0, 0, 1, 1, 0, 0, 1, 1, 0, 0, 0, 0, 0, 0, 1, 0, 0, 1, 0, 0, 1, 0, 0, 1, 0, 0]",-0.005713514,"[0, 0, 0, 1, 1, 0, 0, 1, 1, 0, 0, 1, 1, 0, 0, 0, 0, 0, 0, 1, 0, 0, 1, 0, 0, 1, 0, 0, 1, 0, 0]",0.010350523,0.00414013,10,1.512722664,3.206691686,6.516212088,1.512722664,,,0.00013568,1.764248949,1.104685242,
16,0.34,-0.005423702,-0.005423702,-0.005423704,-0.005423702,-0.0054237,"[0, 0, 0, 1, 1, 0, 0, 1, 1, 0, 0, 1, 1, 0, 0, 0, 0, 0, 0, 1, 0, 0, 1, 0, 0, 1, 0, 0, 1, 0, 0]",-0.0054237,"[0, 0, 0, 1, 1, 0, 0, 1, 1, 0, 0, 1, 1, 0, 0, 0, 0, 0, 0, 1, 0, 0, 1, 0, 0, 1, 0, 0, 1, 0, 0]",0.010350519,0.004140124,10,1.512726741,3.206698284,6.516225708,1.512726741,,,0.00013568,1.764106582,1.104724314,
17,0.36,-0.005133889,-0.005133889,-0.005133891,-0.005133889,-0.005133884,"[0, 0, 0, 1, 1, 0, 0, 1, 1, 0, 0, 1, 1, 0, 0, 0, 0, 0, 0, 1, 0, 0, 1, 0, 0, 1, 0, 0, 1, 0, 0]",-0.005133884,"[0, 0, 0, 1, 1, 0, 0, 1, 1, 0, 0, 1, 1, 0, 0, 0, 0, 0, 0, 1, 0, 0, 1, 0, 0, 1, 0, 0, 1, 0, 0]",0.01035045,0.00414001,10,1.512737585,3.206681234,6.516190514,1.512737585,,,0.000135677,1.761401543,1.105398316,
18,0.38,-0.004847098,-0.004847098,-0.0048471,-0.004847098,-0.004847096,"[0, 0, 0, 1, 1, 0, 0, 1, 1, 0, 0, 1, 1, 0, 0, 0, 0, 0, 0, 1, 0, 0, 1, 0, 0, 1, 0, 0, 1, 0, 0]",-0.004847096,"[0, 0, 0, 1, 1, 0, 0, 1, 1, 0, 0, 1, 1, 0, 0, 0, 0, 0, 0, 1, 0, 0, 1, 0, 0, 1, 0, 0, 1, 0, 0]",0.010205333,0.00389529,10,1.45505067,2.992616843,6.074791241,1.45505067,,,0.000125903,1.74640399,1.038112132,
19,0.4,-0.004569673,-0.004569673,-0.004569676,-0.004569672,-0.004569671,"[0, 0, 0, 1, 1, 0, 0, 1, 1, 0, 0, 1, 1, 0, 0, 0, 0, 0, 0, 1, 0, 0, 1, 0, 0, 1, 0, 0, 1, 0, 0]",-0.004569671,"[0, 0, 0, 1, 1, 0, 0, 1, 1, 0, 0, 1, 1, 0, 0, 0, 0, 0, 0, 1, 0, 0, 1, 0, 0, 1, 0, 0, 1, 0, 0]",0.010030987,0.003622303,10,1.366344711,2.686304062,5.444770419,1.366344711,,,0.000112485,1.850753512,0.900455758,
