,0,1,2,3,4,5,6,7,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,0,-0.010068189,-0.010068193,-0.010068187,"[0, 0, 0, 1.0, 1.0, 0, 0, 1.0, 1.0, 0, 0, 1.0, 0, 0, 0, 0, 0, 0, 1.0, 1.0, 0, 0, 1.0, 0, 0, 1.0, 0, 0, 1.0, 0, 0]","[0, 0, 0, 1, 1, 0, 0, 1, 1, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1, 1, 0, 0, 1, 0, 0, 1, 0, 1, 0, 0, 0]","[0, 0, 0, 1, 1, 0, 0, 1, 1, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1, 1, 0, 0, 1, 0, 0, 1, 0, 0, 1, 0, 0]",9,10,0.010323789,0.00415614,9,0.010358579,0.004160959,10,1.857335979,3.951978544,8.060138431,1.857335979,mean:,1.55375391,3.301658553,6.712326599,1.55375391,mean:,0.010358579,0.004160959,10,1.55375391,3.301658553,6.712326599,1.55375391,mean:,0.00016683,2.142666031,1.366501194,MEUCD:,0.000139727,1.782740469,1.143113356,MEUCD:,0.000139727,1.782740469,1.143113356,MEUCD:
1,1,-0.009777798,-0.009777799,-0.009777798,"[0, 0, 0, 1.0, 1.0, 0, 0, 1.0, 1.0, 0, 0, 1.0, 0, 0, 0, 0, 0, 0, 1.0, 1.0, 0, 0, 1.0, 0, 0, 1.0, 0, 0, 1.0, 0, 0]","[0, 0, 0, 1, 1, 0, 0, 1, 1, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1, 1, 0, 0, 1, 0, 0, 1, 0, 0, 1, 0, 0]","[0, 0, 0, 1, 1, 0, 0, 1, 1, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1, 1, 0, 0, 1, 0, 0, 1, 0, 0, 1, 0, 0]",10,10,0.010358579,0.004160959,10,0.010358579,0.004160959,10,1.55375391,3.301658553,6.712326599,1.55375391,1.09347872,1.55375391,3.301658553,6.712326599,1.55375391,1.087407078,0.010358579,0.004160959,10,1.55375391,3.301658553,6.712326599,1.55375391,1.088382292,0.000139727,1.782740469,1.143113356,7.68E-05,0.000139727,1.782740469,1.143113356,7.63E-05,0.000139727,1.782740469,1.143113356,7.63E-05
2,2,-0.009487408,-0.00948741,-0.009487407,"[0, 0, 0, 1.0, 1.0, 0, 0, 1.0, 1.0, 0, 0, 1.0, 0, 0, 0, 0, 0, 0, 1.0, 1.0, 0, 0, 1.0, 0, 0, 1.0, 0, 0, 1.0, 0, 0]","[0, 0, 0, 1, 1, 0, 0, 1, 1, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1, 1, 0, 0, 1, 0, 0, 1, 0, 0, 1, 0, 0]","[0, 0, 0, 1, 1, 0, 0, 1, 1, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1, 1, 0, 0, 1, 0, 0, 1, 0, 0, 1, 0, 0]",10,10,0.010358579,0.004160959,10,0.010358579,0.004160959,10,1.55375391,3.301658553,6.712326599,1.55375391,",median",1.55375391,3.301658553,6.712326599,1.55375391,",median",0.010358579,0.004160959,10,1.55375391,3.301658553,6.712326599,1.55375391,",median",0.000139727,1.782740469,1.143113356,VRE:,0.000139727,1.782740469,1.143113356,VRE:,0.000139727,1.782740469,1.143113356,VRE:
3,3,-0.009197017,-0.009197019,-0.009197014,"[0, 0, 0, 1.0, 1.0, 0, 0, 1.0, 1.0, 0, 0, 1.0, 0, 0, 0, 0, 0, 0, 1.0, 1.0, 0, 0, 1.0, 0, 0, 1.0, 0, 0, 1.0, 0, 0]","[0, 0, 0, 1, 1, 0, 0, 1, 1, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1, 1, 0, 0, 1, 0, 0, 1, 0, 0, 1, 0, 0]","[0, 0, 0, 1, 1, 0, 0, 1, 1, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1, 1, 0, 0, 1, 0, 0, 1, 0, 0, 1, 0, 0]",10,10,0.010358579,0.004160959,10,0.010358579,0.004160959,10,1.55375391,3.301658553,6.712326599,1.55375391,1.214983439,1.55375391,3.301658553,6.712326599,1.55375391,1.214983439,0.010358579,0.004160959,10,1.55375391,3.301658553,6.712326599,1.55375391,1.214983439,0.000139727,1.782740469,1.143113356,1.643274717,0.000139727,1.782740469,1.143113356,1.636076206,0.000139727,1.782740469,1.143113356,1.6379416
4,4,-0.008906626,-0.008906628,-0.008906626,"[0, 0, 0, 1.0, 1.0, 0, 0, 1.0, 1.0, 0, 0, 1.0, 0, 0, 0, 0, 0, 0, 1.0, 1.0, 0, 0, 1.0, 0, 0, 1.0, 0, 0, 1.0, 0, 0]","[0, 0, 0, 1, 1, 0, 0, 1, 1, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1, 1, 0, 0, 1, 0, 0, 1, 0, 0, 1, 0, 0]","[0, 0, 0, 1, 1, 0, 0, 1, 1, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1, 1, 0, 0, 1, 0, 0, 1, 0, 0, 1, 0, 0]",10,10,0.010358579,0.004160959,10,0.010358579,0.004160959,10,1.55375391,3.301658553,6.712326599,1.55375391,",min:",1.55375391,3.301658553,6.712326599,1.55375391,",min:",0.010358579,0.004160959,10,1.55375391,3.301658553,6.712326599,1.55375391,",min:",0.000139727,1.782740469,1.143113356,MRE:,0.000139727,1.782740469,1.143113356,MRE:,0.000139727,1.782740469,1.143113356,MRE:
5,5,-0.008616235,-0.008616239,-0.00861623,"[0, 0, 0, 1.0, 1.0, 0, 0, 1.0, 1.0, 0, 0, 1.0, 0, 0, 0, 0, 0, 0, 1.0, 1.0, 0, 0, 1.0, 0, 0, 1.0, 0, 0, 1.0, 0, 0]","[0, 0, 0, 1, 1, 0, 0, 1, 1, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1, 1, 0, 0, 1, 0, 0, 1, 0, 0, 1, 0, 0]","[0, 0, 0, 1, 1, 0, 0, 1, 1, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1, 1, 0, 0, 1, 0, 0, 1, 0, 0, 1, 0, 0]",10,10,0.010358579,0.004160959,10,0.010358579,0.004160959,10,1.55375391,3.301658553,6.712326599,1.55375391,3.68E-05,1.55375391,3.301658553,6.712326599,1.55375391,3.68E-05,0.010358579,0.004160959,10,1.55375391,3.301658553,6.712326599,1.55375391,3.68E-05,0.000139727,1.782740469,1.143113356,0.600099812,0.000139727,1.782740469,1.143113356,0.595632055,0.000139727,1.782740469,1.143113356,0.594816258
6,6,-0.008325844,-0.008325849,-0.00832584,"[0, 0, 0, 1.0, 1.0, 0, 0, 1.0, 1.0, 0, 0, 1.0, 0, 0, 0, 0, 0, 0, 1.0, 1.0, 0, 0, 1.0, 0, 0, 1.0, 0, 0, 1.0, 0, 0]","[0, 0, 0, 1, 1, 0, 0, 1, 1, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1, 1, 0, 0, 1, 0, 0, 1, 0, 0, 1, 0, 0]","[0, 0, 0, 1, 1, 0, 0, 1, 1, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1, 1, 0, 0, 1, 0, 0, 1, 0, 0, 1, 0, 0]",10,10,0.010358579,0.004160959,10,0.010358579,0.004160959,10,1.55375391,3.301658553,6.712326599,1.55375391,",max:",1.55375391,3.301658553,6.712326599,1.55375391,",max:",0.010358579,0.004160959,10,1.55375391,3.301658553,6.712326599,1.55375391,",max:",0.000139727,1.782740469,1.143113356,,0.000139727,1.782740469,1.143113356,,0.000139727,1.782740469,1.143113356,
7,7,-0.008035454,-0.008035454,-0.008035453,"[0, 0, 0, 1.0, 1.0, 0, 0, 1.0, 1.0, 0, 0, 1.0, 0, 0, 0, 0, 0, 0, 1.0, 1.0, 0, 0, 1.0, 0, 0, 1.0, 0, 0, 1.0, 0, 0]","[0, 0, 0, 1, 1, 0, 0, 1, 1, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1, 1, 0, 0, 1, 0, 0, 1, 0, 0, 1, 0, 0]","[0, 0, 0, 1, 1, 0, 0, 1, 1, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1, 1, 0, 0, 1, 0, 0, 1, 0, 0, 1, 0, 0]",10,10,0.010358579,0.004160959,10,0.010358579,0.004160959,10,1.55375391,3.301658553,6.712326599,1.55375391,1.857335979,1.55375391,3.301658553,6.712326599,1.55375391,1.55375391,0.010358579,0.004160959,10,1.55375391,3.301658553,6.712326599,1.55375391,1.55375391,0.000139727,1.782740469,1.143113356,,0.000139727,1.782740469,1.143113356,,0.000139727,1.782740469,1.143113356,
8,8,-0.007745065,-0.007745073,-0.007745069,"[0, 0, 0, 0, 1.0, 0, 0, 1.0, 1.0, 0, 0, 1.0, 1.0, 0, 0, 0, 0, 0, 1.0, 1.0, 0, 0, 1.0, 0, 0, 1.0, 0, 0, 1.0, 0, 0]","[0, 0, 0, 0, 1, 0, 0, 1, 1, 0, 0, 1, 1, 0, 0, 0, 0, 0, 1, 1, 0, 0, 1, 0, 0, 1, 0, 0, 1, 0, 0]","[0, 0, 0, 0, 1, 0, 0, 1, 1, 0, 0, 1, 1, 0, 0, 0, 0, 0, 1, 1, 0, 0, 1, 0, 0, 1, 0, 0, 1, 0, 0]",10,10,0.010358318,0.004159762,10,0.010358318,0.004159762,10,1.54950065,3.292118058,6.692616529,1.54950065,,1.54950065,3.292118058,6.692616529,1.54950065,,0.010358318,0.004159762,10,1.54950065,3.292118058,6.692616529,1.54950065,,0.000139317,1.75447778,1.145661873,,0.000139317,1.75447778,1.145661873,,0.000139317,1.75447778,1.145661873,
9,9,-0.007454703,-0.007454704,-0.007454698,"[0, 0, 0, 0, 1.0, 0, 0, 1.0, 1.0, 0, 0, 1.0, 1.0, 0, 0, 0, 0, 0, 1.0, 1.0, 0, 0, 1.0, 0, 0, 1.0, 0, 0, 1.0, 0, 0]","[0, 0, 0, 0, 1, 0, 0, 1, 1, 0, 0, 1, 1, 0, 0, 0, 0, 0, 1, 1, 0, 0, 1, 0, 0, 1, 0, 0, 1, 0, 0]","[0, 0, 0, 0, 1, 0, 0, 1, 1, 0, 0, 1, 1, 0, 0, 0, 0, 0, 1, 1, 0, 0, 1, 0, 0, 1, 0, 0, 1, 0, 0]",10,10,0.010358318,0.004159761,10,0.010358318,0.004159761,10,1.549495015,3.292105642,6.69259088,1.549495015,,1.549495015,3.292105642,6.69259088,1.549495015,,0.010358318,0.004159761,10,1.549495015,3.292105642,6.69259088,1.549495015,,0.000139317,1.754454162,1.145661873,,0.000139317,1.754454162,1.145661873,,0.000139317,1.754454162,1.145661873,
