,mean_return,port_ef,primal,relaxed,dual,GA,GA_port,X_MPE,Y_MPE,VRE,MPE
0,0.010707371,0.004482005,,,,,,,,,
1,0.0105457,0.004200462,,,,,,,,,
2,0.010384028,0.003938645,,,,,,,,,
3,0.010222357,0.003696554,0.00392317,0.003696551,0.003923171,0.003923171,"[0, 0, 0, 1, 1, 0, 0, 1, 1, 0, 0, 1, 1, 0, 0, 0, 0, 0, 0, 1, 0, 0, 1, 0, 0, 1, 0, 0, 1, 0, 0]",1.462462578,3.019653124,6.130489299,1.462462578
4,0.010060684,0.003474183,0.003667176,0.003474179,0.003667176,0.003667177,"[0, 0, 0, 1, 1, 0, 0, 1, 1, 0, 0, 1, 1, 0, 0, 0, 0, 0, 0, 1, 0, 0, 1, 0, 0, 1, 0, 0, 1, 0, 0]",1.38318808,2.740012755,5.555102208,1.38318808
5,0.009898975,0.00326622,0.003430857,0.003266216,0.003430858,0.003430859,"[0, 0, 0, 1, 1, 0, 0, 1, 1, 0, 0, 1, 1, 0, 0, 0, 0, 0, 0, 1, 0, 0, 1, 0, 0, 1, 0, 0, 1, 0, 0]",1.28283481,2.489346316,5.040661082,1.28283481
6,0.009737266,0.003068011,0.003214274,0.003068009,0.003214235,0.003214275,"[0, 0, 0, 1, 1, 0, 0, 1, 1, 0, 0, 1, 1, 0, 0, 0, 0, 0, 0, 1, 0, 0, 1, 0, 0, 1, 0, 0, 1, 0, 0]",1.218274012,2.355940863,4.767386299,1.218274012
7,0.009575557,0.002879556,0.003015607,0.002879555,0.00301561,0.00301561,"[0, 0, 0, 1, 1, 0, 0, 1, 1, 0, 0, 1, 1, 0, 1, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1, 0, 0, 1, 0, 0]",1.212973103,2.3351538,4.724837032,1.212973103
8,0.009413847,0.002700853,0.00282816,0.002700852,0.002828165,0.002828162,"[0, 0, 0, 1, 1, 0, 0, 1, 1, 0, 0, 1, 1, 0, 1, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1, 0, 0, 1, 0, 0]",1.218227279,2.329691876,4.713658394,1.218227279
9,0.009252138,0.002531905,0.002650468,0.002531903,0.002650468,0.002650468,"[0, 0, 0, 1, 1, 0, 0, 1, 1, 0, 0, 1, 1, 0, 1, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1, 0, 0, 1, 0, 0]",1.221872398,2.314590477,4.682754245,1.221872398
10,0.009090429,0.002372711,0.002482529,0.002372707,0.00248253,0.002482533,"[0, 0, 0, 1, 1, 0, 0, 1, 1, 0, 0, 1, 1, 0, 1, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1, 0, 0, 1, 0, 0]",1.223553069,2.288098114,4.628550158,1.223553069
11,0.00892872,0.00222327,0.002324345,0.002223268,0.002324345,0.002324346,"[0, 0, 0, 1, 1, 0, 0, 1, 1, 0, 0, 1, 1, 0, 1, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1, 0, 0, 1, 0, 0]",1.222609519,2.247864824,4.546258611,1.222609519
12,0.008767011,0.002083583,0.002175914,0.002083579,0.002175914,0.002175915,"[0, 0, 0, 1, 1, 0, 0, 1, 1, 0, 0, 1, 1, 0, 1, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1, 0, 0, 1, 0, 0]",1.218434125,2.191673198,4.43138071,1.218434125
13,0.008605302,0.00195365,0.002037237,0.001953648,0.002037237,0.002037237,"[0, 0, 0, 1, 1, 0, 0, 1, 1, 0, 0, 1, 1, 0, 1, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1, 0, 0, 1, 0, 0]",1.210067567,2.116838871,4.278487811,1.210067567
14,0.008443594,0.001833429,0.001908314,0.001833425,0.001908316,0.001908315,"[0, 0, 0, 1, 1, 0, 0, 1, 1, 0, 0, 1, 1, 0, 1, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1, 0, 0, 1, 0, 0]",1.196274421,2.021806065,4.084489128,1.196274421
15,0.008281893,0.001721573,0.001789149,0.001721572,0.00178915,0.00178915,"[0, 0, 0, 1, 1, 0, 0, 1, 1, 0, 0, 1, 1, 0, 1, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1, 0, 0, 1, 0, 0]",1.181419616,1.943768599,3.925319562,1.181419616
16,0.008120191,0.001617432,0.00167936,0.001617427,0.001679363,0.00167936,"[0, 0, 0, 1, 1, 0, 0, 1, 1, 0, 0, 1, 1, 0, 1, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1, 0, 0, 1, 0, 0]",1.187550473,1.896422661,3.82880951,1.187550473
17,0.00795849,0.001521006,0.001577442,0.001521005,0.00157744,0.001577445,"[0, 0, 0, 1, 1, 0, 0, 1, 1, 0, 0, 1, 1, 0, 1, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1, 0, 0, 1, 0, 0]",1.194377019,1.838401482,3.710600165,1.194377019
18,0.007796788,0.001432297,0.001482607,0.001432295,0.001482608,0.001482607,"[0, 0, 0, 0, 1, 0, 0, 1, 1, 0, 0, 1, 1, 0, 1, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1, 0, 1, 1, 0, 0]",1.184022999,1.741134114,3.512583708,1.184022999
19,0.007635087,0.001351302,0.00139528,0.001351301,0.00139528,0.00139528,"[0, 0, 0, 0, 1, 0, 0, 1, 1, 0, 0, 1, 1, 0, 1, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1, 0, 1, 1, 0, 0]",1.161210562,1.614203697,3.25446393,1.161210562
20,0.007473385,0.001278023,0.001315668,0.00127802,0.001315669,0.001315668,"[0, 0, 0, 0, 1, 0, 0, 1, 1, 0, 0, 1, 1, 0, 1, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1, 0, 1, 1, 0, 0]",1.127074139,1.462081503,2.945539829,1.127074139
21,0.007311684,0.00121246,0.001243771,0.001212457,0.001243772,0.001243772,"[0, 0, 0, 0, 1, 0, 0, 1, 1, 0, 0, 1, 1, 0, 1, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1, 0, 1, 1, 0, 0]",1.076975814,1.283017346,2.582496028,1.076975814
22,0.007149982,0.001154612,0.00117959,0.00115461,0.001179583,0.001179591,"[0, 0, 0, 0, 1, 0, 0, 1, 1, 0, 0, 1, 1, 0, 1, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1, 0, 1, 1, 0, 0]",1.00366465,1.075905706,2.163387143,1.00366465
23,0.006988285,0.001104363,0.001122782,0.001104362,0.001122783,0.001122782,"[0, 1, 0, 0, 1, 0, 0, 1, 1, 0, 0, 1, 1, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 1, 1, 0, 0]",0.878944569,0.83046533,1.667827386,0.83046533
24,0.0068266,0.001058597,0.001073543,0.001058594,0.001073547,0.001073544,"[0, 1, 0, 0, 1, 0, 0, 1, 1, 0, 0, 1, 1, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 1, 1, 0, 0]",0.78513606,0.703515641,1.411980625,0.703515641
25,0.006664916,0.001015928,0.001029287,0.001015925,0.001029274,0.001029287,"[0, 1, 0, 0, 1, 0, 0, 1, 1, 0, 0, 1, 1, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 1, 1, 0, 0]",0.77269257,0.655355256,1.315005417,0.655355256
26,0.006503225,0.000976215,0.000987865,0.000976214,0.000987871,0.000987868,"[0, 1, 0, 0, 1, 0, 0, 0, 1, 0, 0, 1, 1, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 1, 1, 0, 1]",0.741614945,0.595068769,1.193678607,0.595068769
27,0.006341532,0.000939156,0.00094945,0.000939152,0.00094945,0.00094945,"[0, 1, 0, 0, 1, 0, 0, 0, 1, 0, 0, 1, 1, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 1, 1, 0, 1]",0.721527735,0.546562379,1.096112061,0.546562379
28,0.006179839,0.000904739,0.000913944,0.000904737,0.000913944,0.000913944,"[0, 1, 0, 0, 1, 0, 0, 0, 1, 0, 0, 1, 1, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 1, 1, 0, 1]",0.714682513,0.507435102,1.017445107,0.507435102
29,0.006018146,0.000872964,0.000881083,0.000872962,0.000881085,0.000881083,"[0, 1, 0, 0, 1, 0, 0, 0, 1, 0, 0, 1, 1, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 1, 1, 0, 1]",0.703177653,0.46392923,0.930010762,0.46392923
30,0.005856452,0.000843832,0.000850864,0.000843829,0.000850868,0.000850864,"[0, 1, 0, 0, 1, 0, 0, 0, 1, 0, 0, 1, 1, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 1, 1, 0, 1]",0.68517869,0.41580326,0.833335443,0.41580326
31,0.00569476,0.000817343,0.000823288,0.000817338,0.000823288,0.000823288,"[0, 1, 0, 0, 1, 0, 0, 0, 1, 0, 0, 1, 1, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 1, 1, 0, 1]",0.658214811,0.363040222,0.727398425,0.363040222
32,0.005533067,0.000793495,0.000798354,0.000793492,0.000798333,0.000798354,"[0, 1, 0, 0, 1, 0, 0, 0, 1, 0, 0, 1, 1, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 1, 1, 0, 1]",0.618641759,0.305680119,0.612294641,0.305680119
33,0.005371373,0.000772291,0.000775737,0.000772289,0.000775737,0.000775737,"[0, 1, 0, 0, 1, 0, 0, 0, 1, 0, 0, 0, 1, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 1, 1, 1, 1]",0.513240034,0.222884957,0.44626669,0.222884957
34,0.005209681,0.000753679,0.000755728,0.000753677,0.000755728,0.000755729,"[0, 1, 0, 0, 1, 0, 0, 0, 1, 0, 0, 0, 1, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 1, 1, 1, 1]",0.360105069,0.135901264,0.271987219,0.135901264
35,0.005047992,0.000737217,0.00073836,0.000737216,0.00073836,0.000738361,"[0, 1, 0, 0, 1, 0, 0, 0, 1, 0, 0, 0, 1, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 1, 1, 1, 1]",0.235555169,0.077542846,0.15514582,0.077542846
36,0.0048863,0.000722584,0.00072328,0.000722581,0.00072328,0.000723281,"[0, 1, 0, 0, 1, 0, 0, 0, 1, 0, 0, 0, 1, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 1, 1, 1, 1]",0.165659903,0.048219247,0.096461745,0.048219247
37,0.00472461,0.000709465,0.000709959,0.000709463,0.000709959,0.00070996,"[0, 1, 0, 0, 1, 0, 0, 0, 1, 0, 0, 0, 1, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 1, 1, 1, 1]",0.136142532,0.034865798,0.069743753,0.034865798
38,0.00456292,0.000697802,0.000698181,0.000697801,0.000698181,0.000698181,"[0, 1, 0, 0, 1, 0, 0, 0, 1, 0, 0, 0, 1, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 1, 1, 1, 1]",0.122324973,0.027147299,0.054301967,0.027147299
39,0.004401231,0.000687593,0.000687831,0.00068759,0.000687819,0.000687832,"[0, 0, 0, 0, 1, 0, 0, 0, 1, 0, 0, 0, 1, 0, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 1, 1, 1, 1]",0.09224904,0.017362557,0.034728128,0.017362557
40,0.004239541,0.000678735,0.000678737,0.000678734,0.000678744,0.000678741,"[0, 0, 0, 0, 1, 0, 0, 0, 1, 0, 0, 0, 1, 0, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 1, 1, 1, 1]",0.00288202,0.000464098,0.000928198,0.000464098
